Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,217.204819,241.144119,214.688217,230.380386,230.380386,175701065
2015-10-19,230.572327,266.913849,229.508347,257.492950,257.492950,198004740
2015-10-26,257.445770,303.983459,254.223312,295.255859,295.255859,325135632
2015-11-02,295.719452,454.352264,293.213287,348.031342,348.031342,878386491
2015-11-09,348.922455,357.367615,279.893066,299.276489,299.276489,450252692
2015-11-16,298.873596,317.312195,291.383118,305.158447,305.158447,274312046
2015-11-23,304.983551,351.217194,296.962585,350.906342,350.906342,317786687
2015-11-30,351.041504,370.058777,325.874329,357.370148,357.370148,387511741
2015-12-07,358.468597,427.156250,354.270630,395.076965,395.076965,513180256
2015-12-14,394.637024,428.593384,392.000732,407.366333,407.366333,507233735
2015-12-21,407.507141,418.146667,369.780365,385.717010,385.717010,403336346
2015-12-28,386.191376,401.773804,381.442871,396.360016,396.360016,275394022
2016-01-04,396.406128,425.647278,395.797455,409.685425,409.685425,294043032
2016-01-11,410.331970,412.804657,325.310730,350.283142,350.283142,636534643
2016-01-18,349.764526,390.475616,344.965637,373.294128,373.294128,455530101
2016-01-25,372.688263,372.584717,334.387421,340.725311,340.725311,348160234
2016-02-01,341.263977,349.400421,332.140625,338.048645,338.048645,304383784
2016-02-08,338.171600,362.885406,332.067932,362.885406,362.885406,413811239
2016-02-15,363.186584,402.629395,356.533691,394.602509,394.602509,491147870
2016-02-22,394.774292,398.502716,375.903198,396.908997,396.908997,423672749
2016-02-29,396.848541,405.647736,358.083435,370.979980,370.979980,574011698
2016-03-07,371.025482,381.846497,367.764313,370.926270,370.926270,494139234
2016-03-14,371.048096,376.802887,360.465942,367.064423,367.064423,463704003
2016-03-21,366.765442,384.226715,364.103455,382.577332,382.577332,381612672
2016-03-28,382.382782,382.385559,364.170563,369.440887,369.440887,357731434
2016-04-04,369.787598,373.976593,365.428162,369.695679,369.695679,364395391
2016-04-11,369.965820,383.532806,369.601868,378.363129,378.363129,337743556
2016-04-18,378.550812,410.075745,377.184479,408.330353,408.330353,378755871
2016-04-25,408.834381,414.789032,385.835449,394.271881,394.271881,434081450
2016-05-02,394.322510,404.643921,383.783051,402.800415,402.800415,352618338
2016-05-09,402.500000,405.877319,393.457703,404.390625,404.390625,309425550
2016-05-16,404.406525,406.669037,390.421326,391.623291,391.623291,418623008
2016-05-23,391.645569,498.479279,390.759583,473.827637,473.827637,666212769
2016-05-30,475.842804,519.025513,468.010773,506.632294,506.632294,585887357
2016-06-06,506.301880,609.129211,500.100433,598.775391,598.775391,671273427
2016-06-13,597.769653,689.768616,590.707642,673.231384,673.231384,1377643602
2016-06-20,673.360046,673.795410,492.446594,570.182129,570.182129,1303997657
2016-06-27,570.165771,632.939514,562.986755,592.004333,592.004333,827164041
2016-07-04,592.130188,616.767395,553.145264,588.081848,588.081848,940164504
